Ano,Mes,Media_Volume_Negociado
2019,01,21827.47619047619
2019,02,17392.684210526317
2019,03,8916.666666666666
2019,04,23584.14285714286
2019,05,13223.40909090909
2019,06,22037.9
2019,07,8819.772727272728
2019,08,15226.227272727272
2019,09,7425.55
2019,10,24074.478260869564
2019,11,21131.95
2019,12,7368.666666666667
2020,01,22863.380952380954
2020,02,17807.947368421053
2020,03,7510.681818181818
2020,04,9736.57142857143
2020,05,7298.5
2020,06,13202.227272727272
2020,07,9903.318181818182
2020,08,13991.047619047618
2020,09,8526.57142857143
2020,10,17664.863636363636
2020,11,13478.35
2020,12,4765.318181818182
2021,01,20298.263157894737
2021,02,14050.368421052632
2021,03,6916.173913043478
2021,04,13315.047619047618
2021,05,7061.4
2021,06,15562.40909090909
2021,07,13117.333333333334
2021,08,14867.681818181818
2021,09,5705.857142857143
2021,10,19292.904761904763
2021,11,16347.190476190477
2021,12,3718.409090909091
2022,01,18890.65
2022,02,16674.21052631579
2022,03,5156.95652173913
2022,04,17803.85
2022,05,16666.238095238095
2022,06,19171.095238095237
2022,07,8784.0
2022,08,12029.565217391304
